label,paper_id,silo,algorithm_family_trace_only,faithfulness_tier,h4_eligible,anchor_profile,anchor_epsilon,bare_status,full_status,bare_runtime_seconds,full_runtime_seconds,runtime_tau,bare_t_count,full_t_count,t_count_regime,bare_t_depth,full_t_depth,t_depth_tau,full_num_tstates,delta_num_tstates,qdk_magic_delta_positive
SQ17,7eefd96d7f06,quantum-ml-finance,quantum-ml,paper-family-template,True,maj_e6_floquet,1e-04,success,success,0.00019350000000000001,0.00040050000000000003,2.0697674418604652,0,0,zero_logical_t_count,10,20,2.0,1700.0,900.0,True
SQ18,86891f250a78,quantum-ml-finance,other-gate-based,paper-family-template,True,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SQ19,b3543c214d69,quantum-ml-finance,quantum-svm,proxy,False,maj_e6_floquet,1e-04,success,success,9.27e-05,0.00019350000000000001,2.087378640776699,0,0,zero_logical_t_count,6,12,2.0,320.0,170.0,True
SQ2,26d9ab80fc82,quantum-ml-finance,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,6.75e-05,0.0001395,2.066666666666667,0,0,zero_logical_t_count,4,8,2.0,384.0,204.0,True
SQ20,b3543c214d69,quantum-ml-finance,quantum-svm,proxy,False,maj_e6_floquet,1e-04,success,success,0.00017370000000000002,0.00034470000000000003,1.9844559585492227,0,0,zero_logical_t_count,10,20,2.0,960.0,480.0,True
SQ21,c48c60134357,quantum-ml-finance,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SQ22,c48c60134357,quantum-ml-finance,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SQ23,c48c60134357,quantum-ml-finance,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SQ24,c57f6422ed7b,quantum-ml-finance,quantum-ml,proxy,False,maj_e6_floquet,1e-04,success,success,3.51e-05,0.006544500000000001,186.45299145299148,0,202,nonzero_logical_t_count,2,200,100.0,5992.0,5902.0,True
SQ25,c99a158445ec,quantum-ml-finance,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,7.2e-05,0.0001476,2.0500000000000003,0,0,zero_logical_t_count,4,8,2.0,512.0,272.0,True
