label,paper_id,experiment_id,silo,algorithm_family,fidelity,paper_fidelity,faithfulness_tier,paper_exact_claim_eligible,claim_scope,phase8_runnable,h4_evaluated,h4_passes_all,h4_failure_class,h4_failed_criteria,h4_tau_runtime,h4_full_t_count,h4_tau_t_depth,classical_baseline_scale_type,headline_h4_baseline_eligible,proxy_template,circuit_path,proxy_justification_path,circuit_sha256
SQ31,f94276561f48,exp_6,quantum-ml-finance,quantum-ml,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/f94276561f48__exp_6/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/f94276561f48__exp_6/proxy_justification_SQ31.md,8b08a142b739cc58b59c5af582bad9f31094073b2a331aa169cbecaf4f59c32b
SQ32,f94276561f48,exp_7,quantum-ml-finance,quantum-ml,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/f94276561f48__exp_7/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/f94276561f48__exp_7/proxy_justification_SQ32.md,cd358664278cd4eef2a176e039c8792acb54339f0cd890d7b5ec64354a0ed1f7
SQ4,2a0770a1a995,exp_2,quantum-ml-finance,quantum-ml,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/2a0770a1a995/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/2a0770a1a995/proxy_justification_SQ4.md,e5ee1a94a7ed0166523080c9142dff663c337f16960def16be5dbbef6a4e1ef3
SQ5,2a0770a1a995,exp_3,quantum-ml-finance,quantum-ml,F,paper-faithful-template,paper-family-template,False,template/family-faithful only; not paper-exact,True,True,False,trivial_oracle_or_no_non_clifford_depth,C3_full_t_count_gt_0;C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,1.9361702127659572,0.0,2.0,,,,p4_experiments/experiments/silos/quantum_ml_finance/2a0770a1a995/circuit.py,,e5ee1a94a7ed0166523080c9142dff663c337f16960def16be5dbbef6a4e1ef3
SQ6,2a9cd8a96604,exp_1,quantum-ml-finance,quantum-ml,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/2a9cd8a96604/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/2a9cd8a96604/proxy_justification_SQ6.md,2398b9daf092556b6f3e5eadf4b40eb834890de8226a24adab7e281c12ede66b
SQ7,2fe0d0f15604,exp_1,quantum-ml-finance,vqe,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,paper_specific_no_template,p4_experiments/experiments/silos/quantum_ml_finance/2fe0d0f15604/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/2fe0d0f15604/proxy_justification_SQ7.md,9150dd2cf8c3bdf67127f16ebc42f1e5a4f87cbc143582d5e70f426cadb56b91
SQ8,53a718c11ea8,exp_1,quantum-ml-finance,other-gate-based,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/53a718c11ea8/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/53a718c11ea8/proxy_justification_SQ8.md,74d2d4ab073d28ea537c6f0ca2ce7f388f86979696e7e494be29b2bd3adc1672
SQ9,53a718c11ea8,exp_2,quantum-ml-finance,other-gate-based,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/quantum_ml_finance/53a718c11ea8/circuit.py,p4_experiments/experiments/silos/quantum_ml_finance/53a718c11ea8/proxy_justification_SQ9.md,74d2d4ab073d28ea537c6f0ca2ce7f388f86979696e7e494be29b2bd3adc1672
ST1,3adb18321a79,exp_1,trading-execution,hhl,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/trading_execution/3adb18321a79/circuit.py,p4_experiments/experiments/silos/trading_execution/3adb18321a79/proxy_justification_ST1.md,8f86891b5d7a6d476790b0b90f891b8cb2b3aa510f4de358ed17366ea2f4c57b
ST2,3adb18321a79,exp_2,trading-execution,hhl,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/trading_execution/3adb18321a79/circuit.py,p4_experiments/experiments/silos/trading_execution/3adb18321a79/proxy_justification_ST2.md,8f86891b5d7a6d476790b0b90f891b8cb2b3aa510f4de358ed17366ea2f4c57b
SX1,7cfdb2957f6c,exp_1,other,hhl,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/other/7cfdb2957f6c/circuit.py,p4_experiments/experiments/silos/other/7cfdb2957f6c/proxy_justification_SX1.md,b7c13d8fd047ba23a463c95fecaa894bbac50e59b1ce20c09a062e8cb2f17f6b
SX2,7cfdb2957f6c,exp_2,other,hhl,F,paper-faithful-template,paper-family-template,False,template/family-faithful only; not paper-exact,True,True,False,trivial_oracle_or_no_non_clifford_depth,C3_full_t_count_gt_0;C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,1.9361702127659572,0.0,2.0,,,,p4_experiments/experiments/silos/other/7cfdb2957f6c__exp_2/circuit.py,,7f6566dace4c1840875c07298e1345ee1ca0715eb45d9bc7af75eab9018614c8
SX3,7cfdb2957f6c,exp_3,other,hhl,F,paper-faithful-template,paper-family-template,False,template/family-faithful only; not paper-exact,True,True,False,trivial_oracle_or_no_non_clifford_depth,C2_full_runtime_lt_baseline;C3_full_t_count_gt_0;C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,2.0500000000000003,0.0,2.0,,,,p4_experiments/experiments/silos/other/7cfdb2957f6c/circuit.py,,b7c13d8fd047ba23a463c95fecaa894bbac50e59b1ce20c09a062e8cb2f17f6b
SX4,7cfdb2957f6c,exp_4,other,hhl,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/other/7cfdb2957f6c/circuit.py,p4_experiments/experiments/silos/other/7cfdb2957f6c/proxy_justification_SX4.md,b7c13d8fd047ba23a463c95fecaa894bbac50e59b1ce20c09a062e8cb2f17f6b
SX5,a2b747cae698,exp_1,other,amplitude-estimation,F,paper-faithful-template,paper-family-template,False,template/family-faithful only; not paper-exact,True,True,False,trivial_oracle_or_no_non_clifford_depth,C2_full_runtime_lt_baseline;C3_full_t_count_gt_0;C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,1.9438202247191012,0.0,2.0,,,,p4_experiments/experiments/silos/other/a2b747cae698/circuit.py,,be3706d2a95f122d4287d3660bb7cbfe79594ad5ad6a296a876c8e2e9a1addb9
SX6,a2b747cae698,exp_2,other,amplitude-estimation,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/other/a2b747cae698__exp_2/circuit.py,p4_experiments/experiments/silos/other/a2b747cae698__exp_2/proxy_justification_SX6.md,fa48551370a314d26ff703a28a0f40c132e633a67ceaa4a74c377df4bcde823c
SX7,a2b747cae698,exp_3,other,amplitude-estimation,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/other/a2b747cae698/circuit.py,p4_experiments/experiments/silos/other/a2b747cae698/proxy_justification_SX7.md,be3706d2a95f122d4287d3660bb7cbfe79594ad5ad6a296a876c8e2e9a1addb9
SX8,cd9329dc38ef,exp_3,cryptography-security,other-gate-based,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/other/cd9329dc38ef__exp_3/circuit.py,p4_experiments/experiments/silos/other/cd9329dc38ef__exp_3/proxy_justification_SX8.md,dfdda4e815304ad7f773fe1bd613c8e629db8d4536729b9b3d19d3cac79f5e24
